epoch,train_expected_cost,train_regret,train_acc,val_expected_cost,val_regret,val_acc
1,0.20819131958007814,0.1691378793001175,0.18844,0.19163722419738768,0.15254802405834197,0.20005
2,0.19151408317565918,0.15246064279079438,0.20168,0.19163704719543456,0.15254784705638885,0.20005
3,0.1915138642692566,0.15246042374610902,0.20168,0.1916368579864502,0.15254765784740448,0.20005
4,0.19151363170623778,0.15246019125938415,0.20168,0.19163669970035552,0.1525474995613098,0.20005
5,0.19151341915130615,0.15245997870445252,0.20168,0.19163660297393798,0.15254740283489227,0.20005
6,0.19151325099945068,0.15245981071949005,0.20168,0.1916365219116211,0.15254732177257538,0.20005
7,0.19151312015533448,0.15245967999458312,0.20168,0.19163640494346618,0.15254720480442047,0.20005
8,0.19151300312042235,0.1524595628595352,0.20168,0.19163636629581451,0.1525471661567688,0.20005
9,0.19151291408538818,0.1524594737291336,0.20168,0.19163630511760713,0.15254710497856142,0.20005
10,0.19151284904479982,0.1524594085407257,0.20168,0.1916362592458725,0.15254705910682678,0.20005
11,0.19151278343200684,0.1524593431186676,0.20168,0.1916362378358841,0.1525470376968384,0.20005
12,0.19151273082733156,0.1524592904663086,0.20168,0.19163620762825012,0.1525470074892044,0.20005
13,0.19151268712997435,0.15245924690246582,0.20168,0.19163615107536316,0.15254695093631745,0.20005
14,0.1915126544189453,0.15245921389579772,0.20168,0.19163612816333772,0.152546928024292,0.20005
15,0.1915126234436035,0.15245918313026427,0.20168,0.19163611822128296,0.15254691808223725,0.20005
16,0.19151259246826172,0.1524591520500183,0.20168,0.19163609409332275,0.15254689395427704,0.20005
17,0.1915125719833374,0.152459131526947,0.20168,0.19163607807159425,0.15254687793254854,0.20005
18,0.19151255403518677,0.1524591134595871,0.20168,0.19163608570098878,0.15254688556194307,0.20005
19,0.19151253690719605,0.15245909650325776,0.20168,0.19163607802391053,0.15254687788486482,0.20005
20,0.19151252193450927,0.15245908128738403,0.20168,0.19163605394363403,0.15254685380458832,0.20005
